,Symbol,Feature selection,Model,Cross Val Score,Accuracy,F1-Score,AUC
0,EWW,No,XGBClassifier,54.27,54.25,50.06,50.72
1,EWW,No,LogisticRegression,58.53,58.66,38.15,50.08
2,EWW,No,DecisionTreeClassifier,52.58,50.7,49.38,49.38
3,EWW,No,SVC,50.8,50.23,48.67,48.67
0,EWW,Yes,XGBClassifier,54.23,54.65,47.7,49.78
1,EWW,Yes,LogisticRegression,58.82,58.39,37.31,49.73
2,EWW,Yes,DecisionTreeClassifier,51.04,53.65,52.06,52.06
3,EWW,Yes,SVC,52.78,50.9,49.18,49.19
0,AMXL.MX,No,XGBClassifier,68.66,69.57,50.46,52.06
1,AMXL.MX,No,LogisticRegression,71.44,72.64,42.54,50.02
2,AMXL.MX,No,DecisionTreeClassifier,61.27,60.65,51.96,52.09
3,AMXL.MX,No,SVC,59.33,62.05,51.9,51.89
0,AMXL.MX,Yes,XGBClassifier,67.26,69.77,47.53,50.59
1,AMXL.MX,Yes,LogisticRegression,71.37,72.84,42.38,50.08
2,AMXL.MX,Yes,DecisionTreeClassifier,59.42,60.85,51.83,51.92
3,AMXL.MX,Yes,SVC,59.8,60.72,50.37,50.37
0,WALMEX.MX,No,XGBClassifier,55.08,54.88,50.41,50.78
1,WALMEX.MX,No,LogisticRegression,58.45,60.23,44.85,51.27
2,WALMEX.MX,No,DecisionTreeClassifier,53.13,53.02,50.91,50.92
3,WALMEX.MX,No,SVC,52.77,54.88,52.92,52.94
0,WALMEX.MX,Yes,XGBClassifier,54.29,55.29,49.91,50.59
1,WALMEX.MX,Yes,LogisticRegression,58.64,60.16,44.02,51.0
2,WALMEX.MX,Yes,DecisionTreeClassifier,51.77,53.43,51.22,51.22
3,WALMEX.MX,Yes,SVC,52.13,52.06,50.02,50.03
0,GFNORTEO.MX,No,XGBClassifier,54.22,56.5,54.39,54.5
1,GFNORTEO.MX,No,LogisticRegression,56.84,57.79,43.7,51.43
2,GFNORTEO.MX,No,DecisionTreeClassifier,53.66,54.12,53.24,53.27
3,GFNORTEO.MX,No,SVC,50.71,48.74,47.5,47.5
0,GFNORTEO.MX,Yes,XGBClassifier,55.0,53.57,49.71,50.55
1,GFNORTEO.MX,Yes,LogisticRegression,57.13,58.13,43.69,51.69
2,GFNORTEO.MX,Yes,DecisionTreeClassifier,52.01,52.42,51.67,51.72
3,GFNORTEO.MX,Yes,SVC,51.38,50.65,49.45,49.45
